spec_id,connectivity,confound,reduction,classifier,domain_granularity,h1_auc_edges,h1_auc_latent,h1_delta_auc,h2_delta_d,h2_p,h3_wilcoxon_p,h3_n_factors,h3_between_gt_within,duration_s,error
275,partial_corr,none,nmf,logistic_l2,domain_7,0.8720220220220221,0.7505588922255588,-0.12146312979646323,-0.0542659208228396,0.001996007984031936,5.639617199193481e-05,50,36,610.6825885772705,
276,partial_corr,none,nmf,svm_linear,subdomain_14,0.8686436436436438,0.7404362696029363,-0.12820737404070748,-0.0695113165856909,0.001996007984031936,0.02237794255729675,50,18,522.5603988170624,
277,partial_corr,none,nmf,svm_linear,domain_7,0.8686436436436438,0.7404362696029363,-0.12820737404070748,-0.0542659208228396,0.001996007984031936,5.639617199193481e-05,50,36,523.7960586547852,
278,partial_corr,none,nmf,rf,subdomain_14,0.7750709042375709,0.8256631631631631,0.05059225892559227,-0.0695113165856909,0.001996007984031936,0.02237794255729675,50,18,1400.3482484817505,
279,partial_corr,none,nmf,rf,domain_7,0.7750709042375709,0.8256631631631631,0.05059225892559227,-0.0542659208228396,0.001996007984031936,5.639617199193481e-05,50,36,1401.148521900177,
280,partial_corr,ols,none,elasticnet,subdomain_14,0.7277277277277276,,,-0.0307354045047476,0.001996007984031936,,0,0,24.519319772720337,
281,partial_corr,ols,none,elasticnet,domain_7,0.7277277277277276,,,-0.022843270417325617,0.001996007984031936,,0,0,24.523590803146362,
282,partial_corr,ols,none,logistic_l2,subdomain_14,0.826730897564231,,,-0.0307354045047476,0.001996007984031936,,0,0,6.4538490772247314,
283,partial_corr,ols,none,logistic_l2,domain_7,0.826730897564231,,,-0.022843270417325617,0.001996007984031936,,0,0,6.514448642730713,
284,partial_corr,ols,none,svm_linear,subdomain_14,0.8176551551551551,,,-0.0307354045047476,0.001996007984031936,,0,0,13.125867128372192,
285,partial_corr,ols,none,svm_linear,domain_7,0.8176551551551551,,,-0.022843270417325617,0.001996007984031936,,0,0,13.087130069732666,
286,partial_corr,ols,none,rf,subdomain_14,0.7876334668001335,,,-0.0307354045047476,0.001996007984031936,,0,0,674.0246708393097,
287,partial_corr,ols,none,rf,domain_7,0.7876334668001335,,,-0.022843270417325617,0.001996007984031936,,0,0,675.0228979587555,
288,partial_corr,ols,fa,elasticnet,subdomain_14,0.7277277277277276,0.7729270937604271,0.04519936603269947,-0.0307354045047476,0.001996007984031936,0.0625,5,0,272.60839557647705,
289,partial_corr,ols,fa,elasticnet,domain_7,0.7277277277277276,0.7729270937604271,0.04519936603269947,-0.022843270417325617,0.001996007984031936,0.0625,5,0,294.2354519367218,
290,partial_corr,ols,fa,logistic_l2,subdomain_14,0.826730897564231,0.7786327994661328,-0.048098098098098174,-0.0307354045047476,0.001996007984031936,0.0625,5,0,165.32655572891235,
291,partial_corr,ols,fa,logistic_l2,domain_7,0.826730897564231,0.7786327994661328,-0.048098098098098174,-0.022843270417325617,0.001996007984031936,0.0625,5,0,155.5585265159607,
292,partial_corr,ols,fa,svm_linear,subdomain_14,0.8176551551551551,0.7748665331998665,-0.04278862195528854,-0.0307354045047476,0.001996007984031936,0.0625,5,0,169.88119554519653,
293,partial_corr,ols,fa,svm_linear,domain_7,0.8176551551551551,0.7748665331998665,-0.04278862195528854,-0.022843270417325617,0.001996007984031936,0.0625,5,0,163.87779140472412,
294,partial_corr,ols,fa,rf,subdomain_14,0.7876334668001335,0.7651526526526526,-0.02248081414748082,-0.0307354045047476,0.001996007984031936,0.0625,5,0,877.0216205120087,
295,partial_corr,ols,fa,rf,domain_7,0.7876334668001335,0.7651526526526526,-0.02248081414748082,-0.022843270417325617,0.001996007984031936,0.0625,5,0,880.760187625885,
296,partial_corr,ols,ica,elasticnet,subdomain_14,0.7277277277277276,0.8324532866199533,0.10472555889222568,-0.0307354045047476,0.001996007984031936,0.11848533640686121,50,30,133.55289149284363,
297,partial_corr,ols,ica,elasticnet,domain_7,0.7277277277277276,0.8324532866199533,0.10472555889222568,-0.022843270417325617,0.001996007984031936,0.029727315082014982,50,33,135.13097476959229,
